2015-09-23 21:01:39.314 WARN  [6928] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:27.718 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:27.718 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:27.718 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:27.718 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:27.718 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:27.718 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:27.718 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:27.718 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:27.718 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:28.863 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:28.863 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:28.863 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:28.863 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:28.863 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:28.863 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:28.863 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:28.863 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:28.863 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:28.863 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:28.863 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:28.863 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:28.863 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:29.995 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:29.995 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:29.995 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:29.995 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:29.995 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:29.995 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:29.995 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:29.995 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:29.995 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:29.995 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:29.995 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:29.995 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:29.995 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:29.995 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:29.995 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:31.125 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:31.125 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:31.125 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:31.125 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:31.125 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:31.125 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:31.125 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:31.125 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:31.125 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:31.125 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:31.125 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:31.125 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:31.125 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:31.125 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:31.125 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:31.125 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:31.125 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:32.321 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:32.321 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:32.321 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:32.321 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:32.321 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:32.321 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:32.321 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:32.321 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:32.321 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:32.321 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:32.321 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:32.321 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:32.321 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:32.321 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:32.321 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:32.321 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:32.321 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:32.321 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:32.321 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:33.443 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:33.443 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:33.443 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:33.443 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:33.443 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:33.443 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:33.443 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:33.443 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:33.443 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:33.443 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:33.443 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:33.443 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:33.443 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:33.443 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:33.443 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:33.443 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:33.443 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:33.443 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:33.443 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:33.443 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:33.443 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:34.631 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:34.631 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:34.631 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:34.631 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:34.631 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:34.631 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:34.631 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:34.631 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:34.631 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:34.631 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:34.631 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:34.631 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:34.631 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:34.631 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:34.631 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:34.631 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:34.631 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:34.631 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:34.631 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:34.631 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:34.631 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:34.631 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:34.631 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:35.727 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:35.727 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:35.727 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:35.727 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:35.727 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:35.727 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:35.727 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:35.727 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:35.727 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:35.727 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:35.727 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:35.727 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:35.727 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:35.727 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:35.727 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:35.727 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:35.727 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:35.727 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:35.727 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:35.727 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:35.727 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:35.727 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:35.727 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:35.727 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:35.727 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:36.891 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:36.891 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:36.891 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:36.891 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:36.891 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:36.891 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:36.891 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:36.891 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:36.891 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:36.891 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:36.891 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:36.891 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:36.891 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:36.891 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:36.891 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:36.891 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:36.891 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:36.891 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:36.891 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:36.891 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:36.891 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:36.891 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:36.891 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:36.891 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:36.891 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:36.891 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:36.891 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:42.269 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:42.269 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:42.269 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:42.269 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:42.269 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:42.269 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:42.269 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:42.269 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:42.269 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
